row_index,timestamp,ACC_0,ACC_1,ACC_2,GYRO_0,GYRO_1,GYRO_2,label,stroke_labels
0,935581526759364.4,-0.1100577244712031,-0.026175772140765923,-0.18032608446399645,-0.022608820714486975,0.07045144621411933,0.04153855436921873,0.0,0.0
1,935581560092697.8,-1.3855750160175335,-6.544850752727257,-2.7666265129228664,0.17970479445498386,0.02533800893847407,-0.11431593106969955,0.0,0.0
2,935581593426031.2,-1.197698505309129,-4.745491497653385,-1.2294543521626442,0.03780179334214699,-0.17342882353716113,-0.5255633460761994,0.0,0.0
3,935581626759364.4,-0.8867290202565788,-2.2269386688664174,0.37084791202186584,-0.5436820646271643,-0.31161979118397476,-0.77901486074699,0.0,0.0
4,935581660092698.0,-0.9901725609560887,-2.1844461089251044,0.260591130119176,-1.050677908022036,-0.3002979429507451,-0.570373985083954,0.0,0.0
5,935581693426031.2,-1.1501531438403398,-2.8729970611129794,-0.26653486391528725,-1.2431625331198246,-0.3170953150726791,-0.48688867056362944,0.0,0.0
6,935581726759364.6,-1.2238708035429853,-2.7832070246134393,-0.43275396543338707,-1.0115401099250836,-0.3179948647782046,-0.37761809907679333,0.0,0.0
7,935581760092698.0,-1.3222833067737136,-2.583744458898143,-0.4287703531204366,-0.8995020845568489,-0.30080302412424575,-0.3425872451530001,0.0,0.0
8,935581793426031.4,-1.3554342851930639,-2.5387105242889954,-0.40041573607817876,-0.8760721464052291,-0.2788472808163049,-0.3326574583046361,0.0,0.0
9,935581826759364.8,-1.3451897024152177,-2.5137655662803358,-0.3833673815702048,-0.8302057279158218,-0.2553342506888205,-0.3319910524208929,0.0,0.0
10,935581860092698.0,-1.2493770846169336,-2.3345192687579446,-0.37400347965617176,-0.7688230017354175,-0.22300414283768205,-0.3475765095612142,0.0,0.0
11,935581893426031.6,-1.1304851651793033,-2.053952815955778,-0.45087149641518626,-0.7663296841662612,-0.1713752921013242,-0.33574871797094874,0.0,0.0
12,935581926759364.8,-1.026016977378187,-1.8895481552402849,-0.437854368447254,-0.7600588090096665,-0.12819942574688142,-0.34565593137912887,0.0,0.0
13,935581960092698.2,-0.9577768530467017,-1.8157106718301819,-0.23814525269508388,-0.7024521825819589,-0.11461295036309291,-0.32897420044215114,0.0,0.0
14,935581993426031.6,-0.9426403324431684,-1.6787665141077155,-0.03988375068019212,-0.64111012876958,-0.12138236650096354,-0.2857573577298419,0.0,0.0
15,935582026759365.0,-0.8973836298955187,-1.6376167096619971,0.001792798219976308,-0.6270986175918087,-0.1533845678282006,-0.2349714207123911,0.0,0.0
16,935582060092698.4,-0.8500453365441654,-1.5845815313225506,-0.0114702699406442,-0.5768617020343214,-0.1882835688719951,-0.19521997509626282,0.0,0.0
17,935582093426031.8,-0.7192481258178469,-1.357724470325762,0.013747534933947082,-0.46966227281683937,-0.20591810170777475,-0.13543296074986838,0.0,0.0
18,935582126759365.2,-0.6124647370148528,-1.101679782428967,0.10488342136677523,-0.40045378365484113,-0.21705032437291952,-0.07598978151532028,0.0,0.0
19,935582160092698.4,-0.48379731116541475,-1.0096464969856642,0.2060480210353574,-0.32602653963445727,-0.23940025383780705,-0.04211530094676286,0.0,0.0
20,935582193426032.0,-0.38910306758629093,-0.7890250658709594,0.2900232025164808,-0.19134647325721119,-0.255289332762471,0.002386524431220581,0.0,0.0
21,935582226759365.2,-0.13105518632092164,-0.6731904127303067,0.4209485207363861,-0.010733454837042342,-0.29411359015918737,-0.0851648155059595,0.0,0.0
22,935582260092698.6,-0.07893147023949781,-0.8031646305078747,0.5580266280928867,-0.055170263769494035,-0.37109948291358963,-0.15637304985419395,0.0,0.0
23,935582293426032.0,-0.059693506091501675,-0.7058533372781005,0.38972301241955354,-0.19637554422914105,-0.36707938803092255,-0.05557675516774945,0.0,0.0
24,935582326759365.4,-0.05004127787707892,-0.6771335839847138,-0.13839966129724418,-0.3183282212793236,-0.32899011952159285,0.0704306265297119,0.0,0.0
25,935582360092698.8,0.06763371764706089,-0.470862996879172,-0.3357199004837895,-0.13494033299733718,-0.3091970123747657,0.007813366960174827,0.0,0.0
26,935582393426032.0,0.03401827165984633,-0.37891271957105715,-0.13992288780960016,-0.04188875265643202,-0.3158109040727003,-0.06588127163636118,0.0,0.0
27,935582426759365.6,0.03179019644908204,-0.23842661541802457,0.03737444847938712,-0.030890073841112815,-0.26401554831370494,-0.005813571487941234,0.0,0.0
28,935582460092698.8,0.10411570450747842,-0.47536594755268846,0.014484929563338945,-0.05423324998839889,-0.2396684322060081,0.043127172611878054,0.0,0.0
29,935582493426032.2,0.2301083832115368,-0.4251610295974266,0.05289418675752666,-0.004095218131482205,-0.24497272120264368,0.056245811087374406,0.0,0.0
30,935582526759365.6,0.20913479735081036,-0.49524876969023124,0.08062045445948443,-0.08125463091589716,-0.25322916173487175,0.09137870090252034,0.0,0.0
31,935582560092699.0,0.174213271390228,-0.6663388121556463,0.003621047640452869,-0.08894814358885467,-0.2752536054147329,0.11377462799790104,0.0,0.0
32,935582593426032.4,0.1368897480998878,-0.6242066536592522,-0.030044982722414595,-0.019043677156146827,-0.29027209994341396,0.09690978650329185,0.0,0.0
33,935582626759365.8,0.14945251207268978,-0.45610934185984897,-0.09360460802125731,-0.012571000779122661,-0.271241296896682,0.06521094608806134,0.0,0.0
34,935582660092699.2,0.3042624627539458,-0.4484179594959272,-0.24174967855082713,-0.01778975548378319,-0.21243972525122767,0.020679067633526525,0.0,0.0
35,935582693426032.4,0.5669830538747864,-0.25843578607183015,-0.3671626067425238,0.04540338656733026,-0.10431114160919053,-0.03882720225130132,0.0,0.0
36,935582726759366.0,0.6980780298705852,0.15163840590451613,-0.4327991970102798,0.0513944325013795,0.049645246304442836,-0.11576894520773365,0.0,0.0
37,935582760092699.2,0.6445463333910129,0.2909887422233212,-0.39398516468990535,0.02947842894176654,0.21325841463314868,-0.15382801026289772,0.0,0.0
38,935582793426032.6,0.3974593684588813,0.506558652481589,-0.14717369129205768,0.11104545094030266,0.33191073186411935,-0.15236156330288808,0.0,0.0
39,935582826759366.0,-0.04638569277065365,0.7155013075426507,0.1460869539171614,0.09107368253262278,0.39534475090565335,-0.10136817295242044,0.0,0.0
40,935582860092699.4,-0.30488322290340786,0.7619880954647995,0.3619372104933021,0.004712246305689588,0.3626784749166283,-0.048064927611616695,0.0,0.0
41,935582893426032.8,-0.24170579347226157,0.6825166989230143,0.6784661091207549,-0.049973142953652794,0.2787508093645998,0.027712599060233746,0.0,0.0
42,935582926759366.0,-0.05244891446642616,0.6532818791857661,0.9444009367609465,-0.0012977614545585676,0.19768272862618805,0.11388005252757383,0.0,0.0
43,935582960092699.6,0.06713040720672658,0.5936748379439835,0.9810099625675074,0.014990272596500863,0.13810173679207088,0.18443053527723824,0.0,0.0
