row_index,timestamp,ACC_0,ACC_1,ACC_2,GYRO_0,GYRO_1,GYRO_2,label,stroke_labels
0,47669323198516.336,0.10976610103441316,-0.2589028274142022,0.11189607743836769,0.09651481986092461,0.17134928764649743,0.11476068035251656,0.0,0.0
1,47669356531849.67,0.11858956590168188,-0.33843473013108105,-0.04658784111482081,0.13388406424839366,0.16595368043107717,0.12294010370983727,0.0,0.0
2,47669389865183.01,0.1569425465291542,-0.31070476401825464,-0.20585933384538702,0.27367155015910194,0.10311819277813195,0.006173984340888984,0.0,0.0
3,47669423198516.34,0.19942664406053534,-0.28269127294692586,-0.2769244706562538,0.36519626292455337,0.06660530117724366,-0.07384107281957451,0.0,0.0
4,47669456531849.68,0.1569567069895378,-0.22879840640247692,-0.15518181783296353,0.3565153784585544,0.09249476405390648,-0.051218719740588725,0.0,0.0
5,47669489865183.016,0.22658775318849753,-0.20823664750642548,-0.09446974707661986,0.3745512547981586,0.09274766812156637,-0.0394048229155273,0.0,0.0
6,47669523198516.35,0.2887724895316869,-0.29211214798731344,-0.13659799256706046,0.39012920729317235,0.11228777022848599,-0.0415948256243954,0.0,0.0
7,47669556531849.69,0.2753238376864455,-0.26829251923357567,-0.2629025493197769,0.43208220133652214,0.1431080399395696,-0.015277488726142891,0.0,0.0
8,47669589865183.02,0.19628657540355446,-0.17273632817495863,-0.3580182274506203,0.44226287052109103,0.1671773174297493,0.028550304041064522,0.0,0.0
9,47669623198516.36,0.09563639383043315,-0.04678528847627886,-0.35410723556209417,0.42054310577469867,0.1844958780867731,0.05997514204351136,0.0,0.0
10,47669656531849.695,0.07504351155462971,-0.11151248493591127,-0.3584589052194615,0.3801925527784485,0.20470000668723956,0.060356226703732585,0.0,0.0
11,47669689865183.03,0.048853909150822036,-0.17314117531591328,-0.4305284349577831,0.37505499243422746,0.2231970306294553,0.06688628404288519,0.0,0.0
12,47669723198516.37,0.051082098746990615,-0.23708509523771493,-0.5690642769587513,0.3737724750136326,0.2367617654164788,0.06993079715336091,0.0,0.0
13,47669756531849.7,0.001909910826087099,-0.23609634521526204,-0.6577407052952615,0.390365276512892,0.25690738837432564,0.05272139595832841,0.0,0.0
14,47669789865183.04,-0.02529756446437386,-0.302151040709186,-0.6639229863253516,0.41789054316949337,0.27549902973122686,0.04225058278212336,0.0,0.0
15,47669823198516.375,-0.1369627560073073,-0.28045619545115363,-0.6115317417735736,0.4652101489542074,0.2759213276509307,0.05863359011245409,0.0,0.0
16,47669856531849.71,-0.1768052398985196,-0.21615550634320924,-0.6166691955105491,0.48729373025178846,0.2620625008099255,0.09909024385643705,0.0,0.0
17,47669889865183.05,-0.24096998057841632,-0.08770026996145658,-0.675033494682379,0.4671984201975534,0.2651844927320345,0.09942708808667049,0.0,0.0
18,47669923198516.38,-0.31441140260620903,-0.0996031529998851,-0.7311718018264144,0.41268781060658744,0.27180085135183735,0.09506253482314445,0.0,0.0
19,47669956531849.72,-0.40332077900433444,-0.07985104993223344,-0.756365629625809,0.3666954987537121,0.2657751137865762,0.12007361772275564,0.0,0.0
20,47669989865183.055,-0.4359410680496132,-0.12586671109349748,-0.8351654964368556,0.30407976353195487,0.25650771042911436,0.16885399939158963,0.0,0.0
21,47670023198516.39,-0.5297805230464232,-0.05460214748714064,-0.8992964602168545,0.23177763465251547,0.26142173639128496,0.17820394938973122,0.0,0.0
22,47670056531849.73,-0.630972562652161,-0.10090995690373959,-0.9334988499772103,0.17856337779463763,0.2699634387283217,0.1438519090345205,0.0,0.0
23,47670089865183.06,-0.391558553673225,-0.008431307816675206,-0.8884941740647162,0.16382286090089526,0.2437594205176989,0.17164194587832537,0.0,0.0
24,47670123198516.4,-0.37242345365024226,-0.028440785562028087,-0.8432773003613031,0.09127270853473227,0.20434904578583118,0.3598755299201643,0.0,0.0
25,47670156531849.73,-0.34504799907905814,-0.09047982946983724,-0.9771687332379966,0.0012179795571261032,0.13758900374128025,0.5247596719459402,0.0,0.0
26,47670189865183.07,-0.4491845125434993,-0.27584493844827207,-1.112536828503389,-0.010854033742813438,0.09723832186280454,0.5709419749347181,0.0,0.0
27,47670223198516.41,-0.32455444044510307,-0.4578574189462385,-1.195853495484059,0.10381532825855028,-0.008774657473768877,0.5914815288342575,0.0,0.0
28,47670256531849.74,0.15611111136062888,-0.9162259444860223,-1.4410852923923683,0.3189902354032865,0.14715222898314306,0.4539412973934659,0.0,0.0
29,47670289865183.08,0.5061906017859297,-0.8541617979960815,-1.7380974732366405,0.6160630432507996,0.2115282057178548,0.38926190151747453,0.0,0.0
30,47670323198516.414,0.5898975363177565,-0.5076623386787951,-1.8561421736104105,0.8437632386616278,0.14934166135162064,0.3806851190055651,0.0,0.0
31,47670356531849.75,0.2830754611238623,0.16603197474306466,-1.7605822601073564,1.0176096674356931,-0.06910638686951134,0.4237294865362248,0.0,0.0
32,47670389865183.086,0.46446367689605644,0.6519639201633016,-1.957266357001732,1.1065711725177048,-0.23643278320755495,0.32395710731044125,0.0,0.0
33,47670423198516.42,0.5664142439315376,1.477955430419707,-2.2799424131295813,1.1078154968949303,-0.4165168757320162,0.2762008524021117,0.0,0.0
34,47670456531849.76,0.6748961596496299,2.3386822345755176,-2.546060594570499,0.8875366737369366,-0.6411597714955708,0.15121229188169388,0.0,0.0
35,47670489865183.09,0.7191541826402148,2.938216281346537,-2.2401518662775914,0.46225302552253644,-0.7875407170692921,-0.09780482211644076,0.0,0.0
36,47670523198516.43,0.46001517458144814,2.960807121159071,-1.0433062028065783,-0.013821663814856881,-0.8644266644333303,-0.24939749298356134,0.0,0.0
37,47670556531849.766,-0.29715115007920423,2.4954428893384843,0.48382667257068657,-0.43274723777275764,-0.6330645948837208,-0.2813143661505705,0.0,0.0
38,47670589865183.1,-0.9509562441539312,1.3559484188531195,0.7753548818677891,-0.8144488030247874,-0.2638822631411369,-0.30755439333746615,0.0,0.0
39,47670623198516.44,-0.6184193851780706,0.03410221002156216,-0.2657932497683765,-0.8679757945558157,-0.06234558858072553,-0.39511606465241833,0.0,0.0
40,47670656531849.77,0.17535967564136704,-0.4200668735833548,-1.1950918702811983,-0.49362760440039777,-0.05661518446412782,-0.43134037204983705,0.0,0.0
41,47670689865183.11,0.6726123472130843,0.18475349565320667,-1.079634847923825,-0.21338479761813822,-0.10161324319420986,-0.36357640251298634,0.0,0.0
42,47670723198516.445,0.8703854113109109,0.21910923963387186,-0.7636750882688011,-0.4339345157350797,-0.045346490401926655,-0.337644033795034,0.0,0.0
43,47670756531849.78,1.0901274907008516,-0.2287420038044421,-0.6539468179346516,-0.5814158017543587,0.0039256537589996005,-0.4016466040939355,0.0,0.0
44,47670789865183.12,1.2050291071553887,-0.47342659687565225,-0.5977334150725138,-0.2551860831684858,-0.03536051117346992,-0.44709319479153686,0.0,0.0
45,47670823198516.45,0.6666518642355559,0.16057225961274052,-0.40879802841918667,0.21059230142252272,-0.10420625993560151,-0.4357765398713541,0.0,0.0
46,47670856531849.79,-0.3195972178746665,0.9355116933633937,-0.5525920695929168,0.36634066014315486,-0.15153280833070626,-0.4773114526555263,0.0,0.0
47,47670889865183.125,-1.15079307824494,1.811341355587356,-0.9993656552218206,0.2314882773211317,-0.20064750671970288,-0.6232182635541326,0.0,0.0
48,47670923198516.46,-0.9658850696219256,1.9850595594257392,-1.2801431890100794,-0.008380643049035554,-0.350399808380915,-0.7768415698576527,0.0,0.0
49,47670956531849.8,-0.6329982923002826,1.8459793821872748,-1.2748255116790785,-0.179394799193973,-0.4870501116308129,-0.9299740559182387,0.0,0.0
50,47670989865183.13,-0.6100230276181076,1.3094145655677152,-1.3801513852534666,-0.2693725924673245,-0.6412838331806183,-1.0388910235786806,0.0,0.0
51,47671023198516.47,-0.8043536703054397,0.9733136554693185,-1.358527066162829,-0.21536938947889014,-0.8753887969845637,-1.0499018412706935,0.0,0.0
52,47671056531849.805,-0.8635421222999705,1.4980795795363921,-1.0910064054125166,-0.1793685672955472,-1.1076238026245488,-1.0471128568368435,0.0,0.0
53,47671089865183.14,-1.2051278786984443,2.9667043661212387,-1.1597120254201976,-0.8192212045953042,-1.3094121850531149,-1.176949102029245,0.0,0.0
54,47671123198516.48,-1.7985515195643362,-1.6799937870918393,1.015378680558601,-0.4273246407885944,-1.899642266770682,-1.6812005044957061,0.0,0.0
55,47671156531849.81,0.3928022486549625,-1.3693565784897608,1.0642799710357735,0.8343880527405066,-1.9536236438015406,-1.6849320597682937,0.0,0.0
56,47671189865183.15,0.14354400697213432,1.4806862699907264,1.4881030212961952,0.6823772611507462,-1.0823673763608512,-1.2752723865437552,0.0,0.0
57,47671223198516.48,0.06246515732618252,6.514724023287473,0.2582718894602094,-0.8569859522891665,-0.4979955872025081,-0.8491671508898182,0.0,0.0
58,47671256531849.82,-1.3969213717368905,2.6402764291715917,0.004681813047986927,-2.273690530482642,-0.4839175712366664,-0.9019960897878162,0.0,0.0
59,47671289865183.16,-0.5706500190337191,4.600457076697469,-0.8341073864282991,-1.6051068975533087,-1.2814375123819466,-1.067232297508366,0.0,0.0
60,47671323198516.49,0.10473182862458108,3.7974267896817446,1.9327465143255134,-3.7271156852523895,-1.201042882258706,-1.012072266430568,0.0,0.0
61,47671356531849.83,0.7877443784976715,0.613008972423871,4.454111525715636,-5.100640046572943,-1.020505448625658,-1.4953417526622927,0.0,0.0
62,47671389865183.17,-0.06339962006132072,-2.937509621446609,5.945920297782086,-4.571111332697484,-0.865333186942694,-1.8266736678178934,0.0,0.0
63,47671423198516.5,-1.015412813373886,-2.212322818455631,6.273133926713761,-2.2815717115481235,-1.5773780697676512,-2.3252009499656507,0.0,0.0
64,47671456531849.84,0.8535381823046986,-3.230844897317464,5.924669766016105,-3.04155878979003,-1.664097204887292,-2.4621924459265894,0.0,0.0
65,47671489865183.17,2.706688472138164,-6.948581005051177,4.657473626329806,-3.722098372353957,-1.0569088564019946,-2.3189066973886145,0.0,0.0
66,47671523198516.51,4.760400990884001,-7.248058753906248,4.594081806717394,-2.3307050809392225,-0.4970973216692015,-1.3404300597383678,0.0,0.0
67,47671556531849.84,4.79000375339251,-4.019067339983412,4.268395132218919,-1.0768717023143293,0.024580604374548662,-0.10185282015323013,0.0,0.0
68,47671589865183.18,3.4961478191122506,-2.794598935995201,3.579055315295001,-1.8691612713261463,0.2992463045139169,0.7107136277022581,0.0,0.0
69,47671623198516.52,1.5650482091389053,-5.395107072301871,4.017916715659406,-2.939901601200808,0.4787500022921595,1.2863041787531986,0.0,0.0
70,47671656531849.85,1.1106101939406976,-8.248035838849013,5.738544567224734,-2.15084660065063,0.5025398689542236,1.5908525621604324,0.0,0.0
71,47671689865183.19,0.5621364779357416,-7.652895006965759,7.127238534748366,0.10423211411560845,0.667807430433444,1.839572744837259,0.0,0.0
72,47671723198516.52,0.3071789343144331,-5.367311604294308,7.789271372639659,1.8238688858912062,0.9311491831312007,1.9215281336730068,0.0,0.0
73,47671756531849.86,-0.5070109503565684,-3.334061350934535,7.689667571831162,1.7428171643143693,1.5119657884319806,2.018255935897392,0.0,0.0
74,47671789865183.2,-1.8474182058099875,-2.765470843700603,6.629253669977861,0.6373818233096911,1.952252394076373,2.084048889326377,0.0,0.0
75,47671823198516.53,-3.4760513835901943,-3.538370733310688,5.088639916055673,0.059149745637817164,2.156617238762282,2.1068045113642393,0.0,0.0
76,47671856531849.87,-4.683495210241249,-4.1811055024372745,3.976621697030695,0.6859203738541665,2.0638198299466026,2.0831842191903256,0.0,0.0
77,47671889865183.2,-5.311315716240316,-3.996960218707722,3.008581617270507,1.9980758304737358,1.8460849529096603,2.107172261258106,0.0,0.0
78,47671923198516.54,-5.2938755202364085,-3.117564222754135,1.5458562308416584,3.2868561682476547,1.6065216152254191,2.190217570585796,0.0,0.0
79,47671956531849.88,-4.948278777489818,-1.1047135394253071,0.1264179961164455,4.557559850489523,1.5674324740310992,2.248042137778273,0.0,0.0
80,47671989865183.21,-4.5641010082398985,1.5224411858920162,-1.2923784404701153,5.378177065216412,1.7859364139637333,2.094488492897037,0.0,0.0
