row_index,timestamp,ACC_0,ACC_1,ACC_2,GYRO_0,GYRO_1,GYRO_2,label,stroke_labels
0,1464159110438383.2,0.026355383310066777,0.21681088902563436,-0.0959201199838762,-0.12256179307115471,-0.0815456168163659,-0.08945791803664307,0.0,0.0
1,1464159143771716.5,-0.23411859208480199,1.5387694748609297,-0.6621318186432174,0.02841731916825159,-0.008456376955965031,-0.020529139191806337,0.0,0.0
2,1464159177105049.8,-0.3675240087971584,1.5228640479965052,-0.52650180236014,0.6793897341660334,0.27633894264584846,0.18506777262999033,0.0,0.0
3,1464159210438383.0,-0.346078127877254,1.852268942660592,-0.3260285446768737,1.2111430727609807,0.4673627674299091,0.28635626350369425,0.0,0.0
4,1464159243771716.2,-0.2650828937264036,1.987991250229721,-0.32100867358713603,1.0983750605694014,0.4030384504236114,0.1961163902836205,0.0,0.0
5,1464159277105049.5,-0.3258200333764668,1.9215851372464463,-0.3637731287796204,0.936986407466635,0.3808146054338326,0.1980302826676625,0.0,0.0
6,1464159310438382.8,-0.27166136467162083,1.3014213109916022,-0.28554011450351746,0.801516111964007,0.34285068737373847,0.20237694491763536,0.0,0.0
7,1464159343771716.0,-0.14837012679012027,1.2829141712116146,-0.11454131558940307,0.831517423429379,0.34355933260790505,0.2179741503458841,0.0,0.0
8,1464159377105049.2,-0.07385474128574547,1.4321912404698285,0.024670778437768888,0.8245152216360064,0.3644084518562817,0.2229358470736968,0.0,0.0
9,1464159410438382.5,-0.14454584928429262,1.390622630953711,0.04546088850847427,0.6911046140944168,0.3525494109379634,0.2289251251463893,0.0,0.0
10,1464159443771715.8,-0.09256158144963725,1.2220220216253166,0.08940961334240008,0.6796729900647436,0.3295285582315354,0.23196873465583864,0.0,0.0
11,1464159477105049.0,-0.1247057900846836,1.0177441541935828,0.11415643737933445,0.644569585628396,0.306734592157678,0.23009630914496357,0.0,0.0
12,1464159510438382.2,-0.18894510099266823,0.7792835724452237,0.09145871012938529,0.5518181352216345,0.28703982941286,0.20183413995670196,0.0,0.0
13,1464159543771715.5,-0.11749706701866854,0.7470544645244195,0.020395100554339234,0.4925642090437562,0.26472147066004414,0.16714691058767525,0.0,0.0
14,1464159577105048.8,0.049763671562391185,0.8193965834563,0.10190166899968894,0.5090839173024395,0.25037952458663854,0.15648558260630835,0.0,0.0
